City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
71,Luwingu,ZM,-10.2621,29.9271,62.51,52,35,2.55,scattered clouds
72,Nanortalik,GL,60.1432,-45.2371,41.86,61,54,9.13,broken clouds
73,Ketchikan,US,55.3422,-131.6461,54.07,82,100,6.91,overcast clouds
74,Tautira,PF,-17.7333,-149.15,78.55,77,94,21.07,light rain
75,Kaniama,CD,-7.5667,24.1833,76.1,36,67,2.28,broken clouds
76,Sungairaya,ID,0.7,108.9,79.16,81,70,2.24,broken clouds
77,Wanning,CN,18.8003,110.3967,80.4,92,100,5.68,overcast clouds
78,Sobolevo,RU,54.4299,31.8996,55.99,80,15,13.44,few clouds
79,Salimpur,IN,28.128,76.2766,94.05,33,92,13.58,overcast clouds
80,Kaitangata,NZ,-46.2817,169.8464,41.22,93,97,18.28,overcast clouds
81,Torbay,CA,47.6666,-52.7314,50.29,87,100,12.66,overcast clouds
82,Inverell,AU,-29.7833,151.1167,45.16,90,11,1.99,few clouds
83,Berlevag,NO,70.8578,29.0864,42.8,81,100,11.5,overcast clouds
84,Grand Gaube,MU,-20.0064,57.6608,73.8,61,77,5.99,broken clouds
85,Busselton,AU,-33.65,115.3333,60.91,67,33,11.43,scattered clouds
86,Zolochiv,UA,49.806,24.8944,58.28,72,100,8.81,overcast clouds
87,Kavieng,PG,-2.5744,150.7967,81.23,77,83,11.56,light rain
88,Wanlaweyn,SO,2.6185,44.8938,77.58,73,62,18.07,broken clouds
89,Richards Bay,ZA,-28.783,32.0377,73.04,36,100,10.85,overcast clouds
90,Lasa,IT,46.6166,10.7002,81.48,46,3,0.49,clear sky
91,Houma,US,29.5958,-90.7195,90.01,65,4,3.0,clear sky
92,Ilulissat,GL,69.2167,-51.1,37.42,65,40,9.22,scattered clouds
93,Clovis,US,36.8252,-119.7029,80.83,35,0,5.75,clear sky
94,Sao Filipe,CV,14.8961,-24.4956,76.84,65,90,16.31,overcast clouds
95,Cayenne,GF,4.9333,-52.3333,87.84,24,20,11.5,few clouds
96,Cherskiy,RU,68.75,161.3,55.85,46,7,3.02,clear sky
97,Carnarvon,AU,-24.8667,113.6333,67.05,69,100,5.23,overcast clouds
98,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,34.39,100,20,2.24,fog
