City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
545,Goderich,CA,77.32,clear sky,43.7501,-81.7165,Harmony Inn
547,Santa Luzia,BR,75.34,clear sky,-19.7697,-43.8514,Pousada Chao Earth
548,Norton Shores,US,86.18,scattered clouds,43.1689,-86.2639,Hampton Inn Muskegon
549,Kampong Thum,KH,78.89,overcast clouds,12.7111,104.8887,Sambor Village Hotel
555,Kloulklubed,PW,77.5,broken clouds,7.0419,134.2556,Storyboard Beach Resort
559,Anguillara Sabazia,IT,85.08,clear sky,42.0875,12.2767,Country Relais I Due Laghi
560,Nago,JP,79.65,heavy intensity rain,26.5881,127.9761,Hotel Yugaf Inn Okinawa
561,The Valley,AI,87.66,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
562,Ishigaki,JP,82.53,few clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
570,Quang Ngai,VN,78.46,overcast clouds,15.1167,108.8,Central Hotel
573,Pochutla,MX,88.83,scattered clouds,15.7432,-96.4661,Hotel Posada San Jose
576,Madingou,CG,79.63,broken clouds,-4.1536,13.55,HOTEL KIM ELISA
577,Kisangani,CD,78.89,overcast clouds,0.5167,25.2,Grand Ramela Hotel
578,Maracacume,BR,84.49,broken clouds,-2.0428,-45.9592,Hotel Ramos
580,Chitral,PK,77.54,scattered clouds,35.8462,71.7858,PTDC Motel Chitral
589,Rawah,IQ,89.42,clear sky,34.4816,41.9093,بيت سميع
593,Niort,FR,88.72,clear sky,46.3333,-0.3333,Hôtel Première Classe Niort La Crèche
597,Macapa,BR,89.58,scattered clouds,0.0389,-51.0664,Atalanta Hotel
599,Malartic,CA,76.01,clear sky,48.1335,-78.1328,Camping Regional De Malartic
600,Buchanan,LR,80.64,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
601,Kongolo,CD,82.13,few clouds,-5.3833,27.0,GUEST HOUSE OASIS
602,Nabire,ID,75.31,broken clouds,-3.3667,135.4833,Hotel Nusantara I
603,Marsa Matruh,EG,75.4,few clouds,31.3525,27.2453,Beau Site
610,Abu Samrah,SY,75.96,clear sky,35.3029,37.1841,0
